sample,source_domain,deformation_type,noise_level,coherence_level,gradient_level,difficulty_score,coarse_mae,ls_masked_mae,ls_masked_rmse,ls_wrapped_mae,ls_gradient_mae,ls_gain_mae,qg_masked_mae,qg_masked_rmse,qg_wrapped_mae,qg_gradient_mae,qg_gain_mae,unet_masked_mae,unet_masked_rmse,unet_wrapped_mae,unet_gradient_mae,unet_gain_mae,ddpm_masked_mae,ddpm_masked_rmse,ddpm_wrapped_mae,ddpm_gradient_mae,ddpm_gain_mae
real__20170522_20180809_y01152_x00000.npz,real,observed,observed,observed,observed,3.6188247203826904,6.6598954,6.6598954,7.4723644,1.4598178,0.5081664,0.0,7.115152,7.2955446,2.7573385e-08,0.42632225,-0.45525646,2.9478564,3.3156996,1.8102026,0.38907313,3.712039,4.7333493,5.1368527,1.5369697,0.42393348,1.9265461
real__20170522_20180809_y01152_x00128.npz,real,observed,observed,observed,observed,3.8099758625030518,8.801122,8.801122,9.505497,1.3212184,0.7105472,0.0,7.516286,7.612473,1.407904e-08,0.5048768,1.2848358,4.739118,4.9868164,2.1937976,0.4790768,4.0620036,5.7654133,6.0544615,1.7087704,0.4781631,3.0357084
real__20170522_20180809_y01152_x01152.npz,real,observed,observed,observed,observed,5.473544120788574,16.117376,16.117376,16.533716,1.5180285,1.0239707,0.0,19.413258,19.607838,2.1562317e-07,1.0949211,-3.2958813,8.327521,8.477699,1.3092146,0.65714574,7.789855,9.894765,10.083629,1.876887,0.68203044,6.2226114
real__20170522_20180809_y01152_x01792.npz,real,observed,observed,observed,observed,4.745025157928467,6.810182,6.810182,7.4079475,1.5682616,0.50803554,0.0,7.625074,7.660483,1.2222676e-08,0.40434006,-0.8148918,6.20786,6.2698755,1.4416938,0.3728831,0.6023221,5.684123,5.859658,1.6977367,0.39521325,1.126059
real__20170522_20180809_y01152_x01920.npz,real,observed,observed,observed,observed,4.345060348510742,6.6223483,6.6223483,7.0243335,1.3902553,0.52917296,0.0,7.6711974,7.7229733,1.2176892e-08,0.40517628,-1.0488491,5.680733,5.7446475,1.8922633,0.3911524,0.9416151,5.828703,5.966997,1.5945172,0.3989179,0.7936454
real__20170522_20180809_y01280_x00128.npz,real,observed,observed,observed,observed,3.854058027267456,7.4907064,7.4907064,8.698975,1.5309314,0.66408694,0.0,7.0563602,7.367824,4.0928228e-08,0.5101395,0.4343462,3.1411376,3.7525756,1.145636,0.43979475,4.349569,4.7501564,5.3085837,1.5436882,0.44274452,2.74055
real__20170522_20180809_y01280_x00640.npz,real,observed,observed,observed,observed,5.551107406616211,18.820753,18.820753,18.996702,1.3489982,0.7341999,0.0,19.712032,19.774523,1.7787272e-07,0.74025416,-0.8912792,7.556731,7.712387,1.0523429,0.52725184,11.264022,11.6938925,11.785796,1.6870816,0.54995334,7.1268606
real__20170522_20180809_y01280_x00768.npz,real,observed,observed,observed,observed,6.01749849319458,21.232164,21.232164,21.511896,1.4696802,0.960975,0.0,20.29035,20.323105,1.4925195e-07,0.88849384,0.9418144,9.139774,9.364134,1.3250221,0.6552856,12.09239,13.09306,13.219135,1.445564,0.6497312,8.139105
real__20170522_20180809_y01280_x02048.npz,real,observed,observed,observed,observed,4.479520797729492,6.386218,6.386218,6.891249,1.586782,0.3984224,0.0,7.5480285,7.55291,7.1967206e-09,0.2872165,-1.1618104,5.8490286,5.916658,1.7880884,0.29269475,0.5371895,5.707586,5.854406,1.7886281,0.31380707,0.67863226
real__20170522_20180809_y01408_x01280.npz,real,observed,observed,observed,observed,6.009205341339111,25.206682,25.206682,25.539299,1.3727893,2.1590676,0.0,27.062437,27.295897,2.3190333e-07,2.1285133,-1.8557549,13.861448,14.121023,1.7860991,1.3509846,11.345234,15.464731,15.705578,1.8933899,1.342442,9.741951
